sku,name,inv,ean,erli_pln,bl_retail_pln,multistore_pln,erli_vs_bl_pct,erli_vs_multistore_pct,flags,stock
4691,Hoker stołek barowy obrotowy regulacja wysokości podnóżek welur granatowy,MultiStore,5903332064076,169.19,169.19,169.19,100%,100%,LOSS,131
4692,Hoker stołek barowy obrotowy regulacja wysokości podnóżek ekoskóra czarny,MultiStore,5903332061914,169.19,169.19,169.19,100%,100%,LOSS,508
4693,Hoker stołek barowy obrotowy regulacja wysokości podnóżek welur szary,MultiStore,5903332064090,169.19,169.19,169.19,100%,100%,LOSS,804
4694,Szafka łazienkowa wisząca regał komoda z regulowaną półką biała,MultiStore,5903332078462,218.0,218.0,218.0,100%,100%,LOSS,40
4695,Szafka łazienkowa pod umywalkę regał komoda z regulowaną półką rustykalny brąz,MultiStore,5903332070671,210.55,210.55,210.55,100%,100%,LOSS,45
4696,Komoda szafka do sypialni salonu przedpokoju 7 szuflad rustykalny brąz,MultiStore,5903332070589,375.0,375.0,375.0,100%,100%,LOSS,46
4698,PARASOL GRZEJNIK GAZOWY OGRODOWY 9 KW GARDENSTEIN BREKKE 46 X 44 X 128 CM,Kathay,5905817007158,559.0,559.0,559.0,100%,100%,LOSS,72
4699,GRZEJNIK GAZOWY OGRODOWY 11 KW NA POKROWIEC GARDENSTEIN SANDEN 45 X 45 CM,Kathay,5905817007165,420.0,439.0,420.0,96%,100%,LOSS,103
4721,Stepper z ekspanderami do ćwiczeń fitness licznik wyświetlacz ModernHome,MultiStore,5905817007141,129.0,129.0,129.0,100%,100%,LOSS,141
4722,Kostkarka do lodu domowa maszyna do kostek kuszony lód 10 kg 165W WEBBER,MultiStore,5907265029492,364.0,364.0,364.0,100%,100%,LOSS,136
4723,Kostkarka do lodu domowa maszyna do kostek kuszony lód 12 kg 100W IDEAL,MultiStore,5908277389291,299.0,299.0,299.0,100%,100%,LOSS,0
4724,Drewniany stół do masażu i rehabilitacji 2-segmentowy składany w walizkę + torba,MultiStore,5905817007400,299.0,299.0,299.0,100%,100%,LOSS,0
